x0000,y0000
0.9803921569,2.
2.9411764706,39.
4.9019607843,113.
6.8627450980,137.
8.8235294118,171.
10.7843137255,160.
12.7450980392,96.
14.7058823529,101.
16.6666666667,89.
18.6274509804,83.
20.5882352941,65.
22.5490196078,71.
24.5098039216,67.
26.4705882353,71.
28.4313725490,88.
30.3921568627,87.
32.3529411765,100.
34.3137254902,125.
36.2745098039,127.
38.2352941176,131.
40.1960784314,143.
42.1568627451,179.
44.1176470588,184.
46.0784313725,165.
48.0392156863,185.
50.,213.
51.9607843137,182.
53.9215686275,209.
55.8823529412,234.
57.8431372549,189.
59.8039215686,208.
61.7647058824,202.
63.7254901961,207.
65.6862745098,227.
67.6470588235,197.
69.6078431373,216.
71.568627451,172.
73.5294117647,191.
75.4901960784,175.
77.4509803922,200.
79.4117647059,179.
81.3725490196,164.
83.3333333333,193.
85.2941176471,171.
87.2549019608,194.
89.2156862745,185.
91.1764705882,189.
93.137254902,187.
95.0980392157,166.
97.0588235294,144.
99.0196078431,188.
100.9803921569,180.
102.9411764706,178.
104.9019607843,150.
106.8627450980,178.
108.8235294118,166.
110.7843137255,156.
112.7450980392,171.
114.7058823529,188.
116.6666666667,196.
118.6274509804,191.
120.5882352941,187.
122.5490196078,208.
124.5098039216,229.
126.4705882353,219.
128.4313725490,276.
130.3921568627,237.
132.3529411765,360.
134.3137254902,381.
136.2745098039,508.
138.2352941176,594.
140.1960784314,759.
142.1568627451,955.
144.1176470588,1204.
146.0784313725,1264.
148.0392156863,1208.
150.,848.
151.9607843137,573.
153.9215686275,333.
155.8823529412,206.
157.8431372549,138.
159.8039215686,96.
161.7647058824,81.
163.7254901961,87.
165.6862745098,95.
167.6470588235,85.
169.6078431373,77.
171.568627451,83.
173.5294117647,77.
175.4901960784,84.
177.4509803922,72.
179.4117647059,88.
181.3725490196,68.
183.3333333333,69.
185.2941176471,83.
187.2549019608,79.
189.2156862745,69.
191.1764705882,65.
193.137254902,61.
195.0980392157,74.
197.0588235294,65.
199.0196078431,73.
200.9803921569,58.
202.9411764706,55.
204.9019607843,58.
206.8627450980,74.
208.8235294118,49.
210.7843137255,57.
212.7450980392,51.
214.7058823529,43.
216.6666666667,59.
218.6274509804,66.
220.5882352941,53.
222.5490196078,50.
224.5098039216,58.
226.4705882353,57.
228.4313725490,57.
230.3921568627,54.
232.3529411765,34.
234.3137254902,47.
236.2745098039,55.
238.2352941176,41.
240.1960784314,43.
242.1568627451,46.
244.1176470588,48.
246.0784313725,47.
248.0392156863,41.
250.,49.
251.9607843137,37.
253.9215686275,47.
255.8823529412,39.
257.8431372549,48.
259.8039215686,30.
261.7647058824,30.
263.7254901961,43.
265.6862745098,40.
267.6470588235,32.
269.6078431373,35.
271.568627451,33.
273.5294117647,25.
275.4901960784,30.
277.4509803922,37.
279.4117647059,29.
281.3725490196,29.
283.3333333333,31.
285.2941176471,22.
287.2549019608,32.
289.2156862745,26.
291.1764705882,25.
293.137254902,29.
295.0980392157,20.
297.0588235294,20.
299.0196078431,21.
300.9803921569,11.
302.9411764706,14.
304.9019607843,22.
306.8627450980,15.
308.8235294118,18.
310.7843137255,14.
312.7450980392,15.
314.7058823529,16.
316.6666666667,12.
318.6274509804,23.
320.5882352941,17.
322.5490196078,25.
324.5098039216,20.
326.4705882353,12.
328.4313725490,9.
330.3921568627,14.
332.3529411765,14.
334.3137254902,11.
336.2745098039,8.
338.2352941176,13.
340.1960784314,14.
342.1568627451,20.
344.1176470588,9.
346.0784313725,14.
348.0392156863,11.
350.,7.
351.9607843137,9.
353.9215686275,13.
355.8823529412,11.
357.8431372549,10.
359.8039215686,13.
361.7647058824,10.
363.7254901961,10.
365.6862745098,20.
367.6470588235,10.
369.6078431373,10.
371.568627451,5.
373.5294117647,5.
375.4901960784,10.
377.4509803922,3.
379.4117647059,13.
381.3725490196,5.
383.3333333333,12.
385.2941176471,8.
387.2549019608,5.
389.2156862745,8.
391.1764705882,7.
393.137254902,6.
395.0980392157,1.
397.0588235294,9.
399.0196078431,5.
400.9803921569,3.
402.9411764706,5.
404.9019607843,5.
406.8627450980,2.
408.8235294118,12.
410.7843137255,7.
412.7450980392,1.
414.7058823529,3.
416.6666666667,4.
418.6274509804,5.
420.5882352941,3.
422.5490196078,4.
424.5098039216,4.
426.4705882353,3.
428.4313725490,4.
430.3921568627,1.
432.3529411765,5.
434.3137254902,3.
436.2745098039,5.
438.2352941176,2.
440.1960784314,3.
442.1568627451,4.
444.1176470588,4.
446.0784313725,3.
448.0392156863,4.
450.,2.
451.9607843137,2.
453.9215686275,2.
455.8823529412,1.
457.8431372549,1.
459.8039215686,4.
461.7647058824,2.
463.7254901961,4.
465.6862745098,2.
467.6470588235,4.
469.6078431373,0.
471.568627451,8.
473.5294117647,3.
475.4901960784,3.
477.4509803922,1.
479.4117647059,1.
481.3725490196,5.
483.3333333333,3.
485.2941176471,1.
487.2549019608,2.
489.2156862745,1.
491.1764705882,1.
493.137254902,1.
495.0980392157,4.
497.0588235294,4.
499.0196078431,1.
