x0000,y0000
0.9803921569,0.
2.9411764706,5.
4.9019607843,99.
6.8627450980,331.
8.8235294118,569.
10.7843137255,562.
12.7450980392,480.
14.7058823529,384.
16.6666666667,366.
18.6274509804,331.
20.5882352941,329.
22.5490196078,358.
24.5098039216,372.
26.4705882353,372.
28.4313725490,389.
30.3921568627,352.
32.3529411765,390.
34.3137254902,378.
36.2745098039,354.
38.2352941176,306.
40.1960784314,281.
42.1568627451,210.
44.1176470588,237.
46.0784313725,186.
48.0392156863,192.
50.,171.
51.9607843137,155.
53.9215686275,146.
55.8823529412,97.
57.8431372549,105.
59.8039215686,75.
61.7647058824,82.
63.7254901961,62.
65.6862745098,69.
67.6470588235,47.
69.6078431373,53.
71.568627451,51.
73.5294117647,38.
75.4901960784,44.
77.4509803922,39.
79.4117647059,36.
81.3725490196,37.
83.3333333333,39.
85.2941176471,37.
87.2549019608,50.
89.2156862745,38.
91.1764705882,43.
93.137254902,41.
95.0980392157,37.
97.0588235294,45.
99.0196078431,51.
100.9803921569,57.
102.9411764706,64.
104.9019607843,65.
106.8627450980,65.
108.8235294118,67.
110.7843137255,90.
112.7450980392,101.
114.7058823529,89.
116.6666666667,114.
118.6274509804,140.
120.5882352941,183.
122.5490196078,210.
124.5098039216,215.
126.4705882353,320.
128.4313725490,461.
130.3921568627,553.
132.3529411765,730.
134.3137254902,960.
136.2745098039,1138.
138.2352941176,1355.
140.1960784314,1425.
142.1568627451,1443.
144.1176470588,1293.
146.0784313725,1188.
148.0392156863,991.
150.,679.
151.9607843137,520.
153.9215686275,315.
155.8823529412,184.
157.8431372549,133.
159.8039215686,75.
161.7647058824,38.
163.7254901961,17.
165.6862745098,19.
167.6470588235,13.
169.6078431373,7.
171.568627451,4.
173.5294117647,3.
175.4901960784,2.
177.4509803922,4.
179.4117647059,0.
181.3725490196,1.
183.3333333333,1.
185.2941176471,0.
187.2549019608,1.
189.2156862745,2.
191.1764705882,0.
193.137254902,1.
195.0980392157,0.
197.0588235294,0.
199.0196078431,1.
200.9803921569,3.
202.9411764706,1.
204.9019607843,2.
206.8627450980,2.
208.8235294118,1.
210.7843137255,2.
212.7450980392,1.
214.7058823529,6.
216.6666666667,2.
218.6274509804,5.
220.5882352941,4.
222.5490196078,4.
224.5098039216,4.
226.4705882353,3.
228.4313725490,6.
230.3921568627,5.
232.3529411765,3.
234.3137254902,6.
236.2745098039,3.
238.2352941176,5.
240.1960784314,3.
242.1568627451,3.
244.1176470588,1.
246.0784313725,3.
248.0392156863,2.
250.,2.
251.9607843137,1.
253.9215686275,4.
255.8823529412,0.
257.8431372549,3.
259.8039215686,4.
261.7647058824,4.
263.7254901961,3.
265.6862745098,4.
267.6470588235,1.
269.6078431373,1.
271.568627451,2.
273.5294117647,3.
275.4901960784,1.
277.4509803922,0.
279.4117647059,2.
281.3725490196,2.
283.3333333333,1.
285.2941176471,1.
287.2549019608,0.
289.2156862745,0.
291.1764705882,0.
293.137254902,0.
295.0980392157,1.
297.0588235294,1.
299.0196078431,0.
300.9803921569,0.
302.9411764706,0.
304.9019607843,0.
306.8627450980,0.
308.8235294118,0.
310.7843137255,0.
312.7450980392,0.
314.7058823529,0.
316.6666666667,0.
318.6274509804,0.
320.5882352941,0.
322.5490196078,0.
324.5098039216,0.
326.4705882353,0.
328.4313725490,0.
330.3921568627,0.
332.3529411765,0.
334.3137254902,0.
336.2745098039,0.
338.2352941176,0.
340.1960784314,0.
342.1568627451,0.
344.1176470588,0.
346.0784313725,0.
348.0392156863,0.
350.,0.
351.9607843137,0.
353.9215686275,0.
355.8823529412,0.
357.8431372549,0.
359.8039215686,0.
361.7647058824,0.
363.7254901961,0.
365.6862745098,0.
367.6470588235,0.
369.6078431373,0.
371.568627451,0.
373.5294117647,0.
375.4901960784,0.
377.4509803922,0.
379.4117647059,0.
381.3725490196,0.
383.3333333333,0.
385.2941176471,0.
387.2549019608,0.
389.2156862745,0.
391.1764705882,0.
393.137254902,0.
395.0980392157,0.
397.0588235294,0.
399.0196078431,0.
400.9803921569,0.
402.9411764706,0.
404.9019607843,0.
406.8627450980,0.
408.8235294118,0.
410.7843137255,0.
412.7450980392,0.
414.7058823529,0.
416.6666666667,0.
418.6274509804,0.
420.5882352941,0.
422.5490196078,0.
424.5098039216,0.
426.4705882353,0.
428.4313725490,0.
430.3921568627,0.
432.3529411765,0.
434.3137254902,0.
436.2745098039,0.
438.2352941176,0.
440.1960784314,0.
442.1568627451,0.
444.1176470588,0.
446.0784313725,0.
448.0392156863,0.
450.,0.
451.9607843137,0.
453.9215686275,0.
455.8823529412,0.
457.8431372549,0.
459.8039215686,0.
461.7647058824,0.
463.7254901961,0.
465.6862745098,0.
467.6470588235,0.
469.6078431373,0.
471.568627451,0.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,0.
481.3725490196,0.
483.3333333333,0.
485.2941176471,0.
487.2549019608,0.
489.2156862745,0.
491.1764705882,0.
493.137254902,0.
495.0980392157,0.
497.0588235294,0.
499.0196078431,0.
