x0000,y0000
0.9803921569,0.
2.9411764706,8.
4.9019607843,80.
6.8627450980,179.
8.8235294118,223.
10.7843137255,149.
12.7450980392,122.
14.7058823529,93.
16.6666666667,99.
18.6274509804,148.
20.5882352941,198.
22.5490196078,274.
24.5098039216,395.
26.4705882353,439.
28.4313725490,508.
30.3921568627,554.
32.3529411765,576.
34.3137254902,532.
36.2745098039,500.
38.2352941176,490.
40.1960784314,421.
42.1568627451,360.
44.1176470588,326.
46.0784313725,290.
48.0392156863,264.
50.,238.
51.9607843137,219.
53.9215686275,213.
55.8823529412,165.
57.8431372549,160.
59.8039215686,147.
61.7647058824,114.
63.7254901961,110.
65.6862745098,92.
67.6470588235,89.
69.6078431373,76.
71.568627451,75.
73.5294117647,61.
75.4901960784,60.
77.4509803922,68.
79.4117647059,52.
81.3725490196,63.
83.3333333333,65.
85.2941176471,57.
87.2549019608,53.
89.2156862745,56.
91.1764705882,61.
93.137254902,49.
95.0980392157,64.
97.0588235294,74.
99.0196078431,82.
100.9803921569,77.
102.9411764706,100.
104.9019607843,127.
106.8627450980,133.
108.8235294118,196.
110.7843137255,200.
112.7450980392,260.
114.7058823529,349.
116.6666666667,416.
118.6274509804,583.
120.5882352941,720.
122.5490196078,975.
124.5098039216,1155.
126.4705882353,1261.
128.4313725490,1366.
130.3921568627,1422.
132.3529411765,1333.
134.3137254902,1219.
136.2745098039,1025.
138.2352941176,818.
140.1960784314,518.
142.1568627451,345.
144.1176470588,160.
146.0784313725,75.
148.0392156863,46.
150.,21.
151.9607843137,11.
153.9215686275,8.
155.8823529412,12.
157.8431372549,7.
159.8039215686,6.
161.7647058824,4.
163.7254901961,1.
165.6862745098,7.
167.6470588235,4.
169.6078431373,1.
171.568627451,2.
173.5294117647,3.
175.4901960784,2.
177.4509803922,1.
179.4117647059,1.
181.3725490196,1.
183.3333333333,1.
185.2941176471,0.
187.2549019608,1.
189.2156862745,4.
191.1764705882,2.
193.137254902,2.
195.0980392157,4.
197.0588235294,1.
199.0196078431,2.
200.9803921569,1.
202.9411764706,3.
204.9019607843,5.
206.8627450980,3.
208.8235294118,6.
210.7843137255,5.
212.7450980392,7.
214.7058823529,8.
216.6666666667,2.
218.6274509804,3.
220.5882352941,4.
222.5490196078,2.
224.5098039216,6.
226.4705882353,5.
228.4313725490,1.
230.3921568627,5.
232.3529411765,7.
234.3137254902,2.
236.2745098039,4.
238.2352941176,1.
240.1960784314,2.
242.1568627451,1.
244.1176470588,1.
246.0784313725,2.
248.0392156863,1.
250.,4.
251.9607843137,0.
253.9215686275,2.
255.8823529412,1.
257.8431372549,1.
259.8039215686,0.
261.7647058824,0.
263.7254901961,1.
265.6862745098,1.
267.6470588235,1.
269.6078431373,0.
271.568627451,0.
273.5294117647,0.
275.4901960784,0.
277.4509803922,0.
279.4117647059,1.
281.3725490196,0.
283.3333333333,0.
285.2941176471,0.
287.2549019608,0.
289.2156862745,0.
291.1764705882,0.
293.137254902,0.
295.0980392157,1.
297.0588235294,0.
299.0196078431,0.
300.9803921569,0.
302.9411764706,0.
304.9019607843,0.
306.8627450980,0.
308.8235294118,0.
310.7843137255,0.
312.7450980392,0.
314.7058823529,0.
316.6666666667,0.
318.6274509804,1.
320.5882352941,0.
322.5490196078,0.
324.5098039216,0.
326.4705882353,0.
328.4313725490,0.
330.3921568627,0.
332.3529411765,0.
334.3137254902,0.
336.2745098039,0.
338.2352941176,0.
340.1960784314,0.
342.1568627451,0.
344.1176470588,0.
346.0784313725,0.
348.0392156863,0.
350.,0.
351.9607843137,0.
353.9215686275,0.
355.8823529412,0.
357.8431372549,0.
359.8039215686,0.
361.7647058824,1.
363.7254901961,0.
365.6862745098,0.
367.6470588235,0.
369.6078431373,0.
371.568627451,0.
373.5294117647,0.
375.4901960784,0.
377.4509803922,0.
379.4117647059,0.
381.3725490196,0.
383.3333333333,0.
385.2941176471,0.
387.2549019608,0.
389.2156862745,0.
391.1764705882,0.
393.137254902,0.
395.0980392157,0.
397.0588235294,0.
399.0196078431,0.
400.9803921569,0.
402.9411764706,0.
404.9019607843,0.
406.8627450980,0.
408.8235294118,0.
410.7843137255,0.
412.7450980392,0.
414.7058823529,0.
416.6666666667,0.
418.6274509804,0.
420.5882352941,0.
422.5490196078,0.
424.5098039216,0.
426.4705882353,0.
428.4313725490,0.
430.3921568627,0.
432.3529411765,0.
434.3137254902,0.
436.2745098039,0.
438.2352941176,0.
440.1960784314,0.
442.1568627451,0.
444.1176470588,0.
446.0784313725,0.
448.0392156863,0.
450.,0.
451.9607843137,0.
453.9215686275,0.
455.8823529412,0.
457.8431372549,0.
459.8039215686,0.
461.7647058824,0.
463.7254901961,0.
465.6862745098,0.
467.6470588235,0.
469.6078431373,0.
471.568627451,0.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,0.
481.3725490196,0.
483.3333333333,0.
485.2941176471,0.
487.2549019608,0.
489.2156862745,0.
491.1764705882,0.
493.137254902,0.
495.0980392157,0.
497.0588235294,0.
499.0196078431,0.
