x0000,y0000
0.9803921569,3.
2.9411764706,229.
4.9019607843,397.
6.8627450980,323.
8.8235294118,191.
10.7843137255,138.
12.7450980392,98.
14.7058823529,73.
16.6666666667,60.
18.6274509804,43.
20.5882352941,70.
22.5490196078,60.
24.5098039216,60.
26.4705882353,61.
28.4313725490,53.
30.3921568627,67.
32.3529411765,83.
34.3137254902,90.
36.2745098039,91.
38.2352941176,116.
40.1960784314,131.
42.1568627451,131.
44.1176470588,165.
46.0784313725,159.
48.0392156863,178.
50.,227.
51.9607843137,273.
53.9215686275,310.
55.8823529412,384.
57.8431372549,490.
59.8039215686,586.
61.7647058824,822.
63.7254901961,963.
65.6862745098,1279.
67.6470588235,1599.
69.6078431373,1720.
71.568627451,1987.
73.5294117647,2126.
75.4901960784,2185.
77.4509803922,1966.
79.4117647059,1736.
81.3725490196,1210.
83.3333333333,735.
85.2941176471,296.
87.2549019608,116.
89.2156862745,54.
91.1764705882,27.
93.137254902,10.
95.0980392157,4.
97.0588235294,9.
99.0196078431,7.
100.9803921569,7.
102.9411764706,4.
104.9019607843,10.
106.8627450980,5.
108.8235294118,10.
110.7843137255,10.
112.7450980392,8.
114.7058823529,11.
116.6666666667,11.
118.6274509804,3.
120.5882352941,10.
122.5490196078,7.
124.5098039216,10.
126.4705882353,15.
128.4313725490,10.
130.3921568627,15.
132.3529411765,5.
134.3137254902,10.
136.2745098039,4.
138.2352941176,7.
140.1960784314,7.
142.1568627451,1.
144.1176470588,6.
146.0784313725,2.
148.0392156863,1.
150.,0.
151.9607843137,1.
153.9215686275,3.
155.8823529412,2.
157.8431372549,0.
159.8039215686,0.
161.7647058824,1.
163.7254901961,0.
165.6862745098,0.
167.6470588235,0.
169.6078431373,0.
171.568627451,0.
173.5294117647,0.
175.4901960784,0.
177.4509803922,0.
179.4117647059,0.
181.3725490196,0.
183.3333333333,0.
185.2941176471,0.
187.2549019608,0.
189.2156862745,0.
191.1764705882,0.
193.137254902,0.
195.0980392157,0.
197.0588235294,0.
199.0196078431,0.
200.9803921569,0.
202.9411764706,0.
204.9019607843,0.
206.8627450980,0.
208.8235294118,0.
210.7843137255,0.
212.7450980392,1.
214.7058823529,0.
216.6666666667,0.
218.6274509804,0.
220.5882352941,0.
222.5490196078,0.
224.5098039216,0.
226.4705882353,0.
228.4313725490,0.
230.3921568627,0.
232.3529411765,0.
234.3137254902,0.
236.2745098039,0.
238.2352941176,0.
240.1960784314,0.
242.1568627451,0.
244.1176470588,0.
246.0784313725,0.
248.0392156863,0.
250.,0.
251.9607843137,0.
253.9215686275,0.
255.8823529412,0.
257.8431372549,0.
259.8039215686,0.
261.7647058824,0.
263.7254901961,0.
265.6862745098,0.
267.6470588235,0.
269.6078431373,0.
271.568627451,0.
273.5294117647,0.
275.4901960784,0.
277.4509803922,0.
279.4117647059,0.
281.3725490196,0.
283.3333333333,0.
285.2941176471,0.
287.2549019608,0.
289.2156862745,0.
291.1764705882,0.
293.137254902,0.
295.0980392157,0.
297.0588235294,0.
299.0196078431,0.
300.9803921569,0.
302.9411764706,0.
304.9019607843,0.
306.8627450980,0.
308.8235294118,0.
310.7843137255,0.
312.7450980392,0.
314.7058823529,0.
316.6666666667,0.
318.6274509804,0.
320.5882352941,0.
322.5490196078,0.
324.5098039216,0.
326.4705882353,0.
328.4313725490,0.
330.3921568627,0.
332.3529411765,0.
334.3137254902,0.
336.2745098039,0.
338.2352941176,0.
340.1960784314,0.
342.1568627451,0.
344.1176470588,0.
346.0784313725,0.
348.0392156863,0.
350.,0.
351.9607843137,0.
353.9215686275,0.
355.8823529412,0.
357.8431372549,0.
359.8039215686,0.
361.7647058824,0.
363.7254901961,0.
365.6862745098,0.
367.6470588235,0.
369.6078431373,0.
371.568627451,0.
373.5294117647,0.
375.4901960784,0.
377.4509803922,0.
379.4117647059,0.
381.3725490196,0.
383.3333333333,0.
385.2941176471,0.
387.2549019608,0.
389.2156862745,0.
391.1764705882,0.
393.137254902,0.
395.0980392157,0.
397.0588235294,0.
399.0196078431,0.
400.9803921569,0.
402.9411764706,0.
404.9019607843,0.
406.8627450980,0.
408.8235294118,0.
410.7843137255,0.
412.7450980392,0.
414.7058823529,0.
416.6666666667,0.
418.6274509804,0.
420.5882352941,0.
422.5490196078,0.
424.5098039216,0.
426.4705882353,0.
428.4313725490,0.
430.3921568627,0.
432.3529411765,0.
434.3137254902,0.
436.2745098039,0.
438.2352941176,0.
440.1960784314,0.
442.1568627451,0.
444.1176470588,0.
446.0784313725,0.
448.0392156863,0.
450.,0.
451.9607843137,0.
453.9215686275,0.
455.8823529412,0.
457.8431372549,0.
459.8039215686,0.
461.7647058824,0.
463.7254901961,0.
465.6862745098,0.
467.6470588235,0.
469.6078431373,0.
471.568627451,0.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,0.
481.3725490196,0.
483.3333333333,0.
485.2941176471,0.
487.2549019608,0.
489.2156862745,0.
491.1764705882,0.
493.137254902,0.
495.0980392157,0.
497.0588235294,0.
499.0196078431,0.
