x0000,y0000
0.9803921569,4.
2.9411764706,195.
4.9019607843,403.
6.8627450980,379.
8.8235294118,268.
10.7843137255,216.
12.7450980392,161.
14.7058823529,108.
16.6666666667,84.
18.6274509804,70.
20.5882352941,65.
22.5490196078,50.
24.5098039216,60.
26.4705882353,72.
28.4313725490,86.
30.3921568627,83.
32.3529411765,77.
34.3137254902,102.
36.2745098039,107.
38.2352941176,135.
40.1960784314,149.
42.1568627451,185.
44.1176470588,222.
46.0784313725,253.
48.0392156863,284.
50.,278.
51.9607843137,276.
53.9215686275,266.
55.8823529412,216.
57.8431372549,179.
59.8039215686,115.
61.7647058824,70.
63.7254901961,68.
65.6862745098,51.
67.6470588235,40.
69.6078431373,26.
71.568627451,31.
73.5294117647,33.
75.4901960784,30.
77.4509803922,27.
79.4117647059,20.
81.3725490196,35.
83.3333333333,26.
85.2941176471,32.
87.2549019608,29.
89.2156862745,32.
91.1764705882,30.
93.137254902,28.
95.0980392157,39.
97.0588235294,40.
99.0196078431,34.
100.9803921569,50.
102.9411764706,54.
104.9019607843,53.
106.8627450980,51.
108.8235294118,53.
110.7843137255,74.
112.7450980392,72.
114.7058823529,88.
116.6666666667,79.
118.6274509804,101.
120.5882352941,100.
122.5490196078,115.
124.5098039216,144.
126.4705882353,161.
128.4313725490,202.
130.3921568627,239.
132.3529411765,313.
134.3137254902,341.
136.2745098039,502.
138.2352941176,600.
140.1960784314,851.
142.1568627451,1130.
144.1176470588,1566.
146.0784313725,1870.
148.0392156863,2185.
150.,2205.
151.9607843137,2051.
153.9215686275,1489.
155.8823529412,937.
157.8431372549,454.
159.8039215686,193.
161.7647058824,67.
163.7254901961,18.
165.6862745098,14.
167.6470588235,5.
169.6078431373,3.
171.568627451,5.
173.5294117647,6.
175.4901960784,5.
177.4509803922,2.
179.4117647059,3.
181.3725490196,4.
183.3333333333,3.
185.2941176471,6.
187.2549019608,2.
189.2156862745,3.
191.1764705882,4.
193.137254902,2.
195.0980392157,2.
197.0588235294,2.
199.0196078431,1.
200.9803921569,1.
202.9411764706,1.
204.9019607843,0.
206.8627450980,3.
208.8235294118,3.
210.7843137255,3.
212.7450980392,3.
214.7058823529,4.
216.6666666667,1.
218.6274509804,1.
220.5882352941,3.
222.5490196078,5.
224.5098039216,3.
226.4705882353,0.
228.4313725490,3.
230.3921568627,6.
232.3529411765,8.
234.3137254902,3.
236.2745098039,9.
238.2352941176,5.
240.1960784314,8.
242.1568627451,6.
244.1176470588,7.
246.0784313725,5.
248.0392156863,10.
250.,7.
251.9607843137,3.
253.9215686275,5.
255.8823529412,9.
257.8431372549,6.
259.8039215686,6.
261.7647058824,5.
263.7254901961,6.
265.6862745098,4.
267.6470588235,6.
269.6078431373,1.
271.568627451,3.
273.5294117647,2.
275.4901960784,6.
277.4509803922,3.
279.4117647059,3.
281.3725490196,3.
283.3333333333,3.
285.2941176471,3.
287.2549019608,2.
289.2156862745,3.
291.1764705882,2.
293.137254902,3.
295.0980392157,0.
297.0588235294,1.
299.0196078431,0.
300.9803921569,0.
302.9411764706,0.
304.9019607843,1.
306.8627450980,0.
308.8235294118,0.
310.7843137255,0.
312.7450980392,1.
314.7058823529,0.
316.6666666667,0.
318.6274509804,0.
320.5882352941,0.
322.5490196078,0.
324.5098039216,0.
326.4705882353,0.
328.4313725490,0.
330.3921568627,0.
332.3529411765,0.
334.3137254902,0.
336.2745098039,0.
338.2352941176,0.
340.1960784314,0.
342.1568627451,0.
344.1176470588,0.
346.0784313725,0.
348.0392156863,0.
350.,0.
351.9607843137,0.
353.9215686275,0.
355.8823529412,0.
357.8431372549,0.
359.8039215686,0.
361.7647058824,0.
363.7254901961,0.
365.6862745098,0.
367.6470588235,0.
369.6078431373,0.
371.568627451,0.
373.5294117647,0.
375.4901960784,0.
377.4509803922,0.
379.4117647059,0.
381.3725490196,0.
383.3333333333,0.
385.2941176471,0.
387.2549019608,0.
389.2156862745,0.
391.1764705882,0.
393.137254902,0.
395.0980392157,0.
397.0588235294,0.
399.0196078431,0.
400.9803921569,0.
402.9411764706,0.
404.9019607843,0.
406.8627450980,0.
408.8235294118,0.
410.7843137255,0.
412.7450980392,0.
414.7058823529,0.
416.6666666667,0.
418.6274509804,0.
420.5882352941,0.
422.5490196078,0.
424.5098039216,0.
426.4705882353,0.
428.4313725490,0.
430.3921568627,0.
432.3529411765,0.
434.3137254902,0.
436.2745098039,0.
438.2352941176,0.
440.1960784314,0.
442.1568627451,0.
444.1176470588,0.
446.0784313725,0.
448.0392156863,0.
450.,0.
451.9607843137,0.
453.9215686275,0.
455.8823529412,0.
457.8431372549,0.
459.8039215686,0.
461.7647058824,0.
463.7254901961,0.
465.6862745098,0.
467.6470588235,0.
469.6078431373,0.
471.568627451,0.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,0.
481.3725490196,0.
483.3333333333,0.
485.2941176471,0.
487.2549019608,0.
489.2156862745,0.
491.1764705882,0.
493.137254902,0.
495.0980392157,0.
497.0588235294,0.
499.0196078431,0.
