x0000,y0000
0.9803921569,0.
2.9411764706,7.
4.9019607843,87.
6.8627450980,192.
8.8235294118,283.
10.7843137255,363.
12.7450980392,455.
14.7058823529,589.
16.6666666667,615.
18.6274509804,668.
20.5882352941,670.
22.5490196078,673.
24.5098039216,717.
26.4705882353,650.
28.4313725490,655.
30.3921568627,668.
32.3529411765,670.
34.3137254902,634.
36.2745098039,632.
38.2352941176,571.
40.1960784314,561.
42.1568627451,510.
44.1176470588,466.
46.0784313725,472.
48.0392156863,449.
50.,476.
51.9607843137,418.
53.9215686275,365.
55.8823529412,373.
57.8431372549,311.
59.8039215686,317.
61.7647058824,267.
63.7254901961,253.
65.6862745098,240.
67.6470588235,237.
69.6078431373,175.
71.568627451,185.
73.5294117647,146.
75.4901960784,136.
77.4509803922,131.
79.4117647059,130.
81.3725490196,96.
83.3333333333,104.
85.2941176471,108.
87.2549019608,86.
89.2156862745,62.
91.1764705882,57.
93.137254902,59.
95.0980392157,42.
97.0588235294,54.
99.0196078431,37.
100.9803921569,42.
102.9411764706,27.
104.9019607843,33.
106.8627450980,20.
108.8235294118,28.
110.7843137255,32.
112.7450980392,16.
114.7058823529,13.
116.6666666667,14.
118.6274509804,20.
120.5882352941,10.
122.5490196078,22.
124.5098039216,15.
126.4705882353,23.
128.4313725490,17.
130.3921568627,23.
132.3529411765,10.
134.3137254902,20.
136.2745098039,19.
138.2352941176,11.
140.1960784314,30.
142.1568627451,17.
144.1176470588,26.
146.0784313725,36.
148.0392156863,25.
150.,39.
151.9607843137,32.
153.9215686275,29.
155.8823529412,41.
157.8431372549,47.
159.8039215686,58.
161.7647058824,73.
163.7254901961,74.
165.6862745098,101.
167.6470588235,97.
169.6078431373,113.
171.568627451,132.
173.5294117647,154.
175.4901960784,169.
177.4509803922,172.
179.4117647059,188.
181.3725490196,215.
183.3333333333,230.
185.2941176471,249.
187.2549019608,282.
189.2156862745,314.
191.1764705882,308.
193.137254902,334.
195.0980392157,337.
197.0588235294,305.
199.0196078431,286.
200.9803921569,260.
202.9411764706,225.
204.9019607843,215.
206.8627450980,186.
208.8235294118,183.
210.7843137255,163.
212.7450980392,125.
214.7058823529,135.
216.6666666667,93.
218.6274509804,91.
220.5882352941,93.
222.5490196078,49.
224.5098039216,61.
226.4705882353,41.
228.4313725490,47.
230.3921568627,30.
232.3529411765,34.
234.3137254902,27.
236.2745098039,19.
238.2352941176,13.
240.1960784314,15.
242.1568627451,20.
244.1176470588,8.
246.0784313725,7.
248.0392156863,5.
250.,6.
251.9607843137,6.
253.9215686275,5.
255.8823529412,4.
257.8431372549,4.
259.8039215686,5.
261.7647058824,7.
263.7254901961,3.
265.6862745098,5.
267.6470588235,1.
269.6078431373,5.
271.568627451,3.
273.5294117647,4.
275.4901960784,1.
277.4509803922,4.
279.4117647059,6.
281.3725490196,4.
283.3333333333,5.
285.2941176471,5.
287.2549019608,3.
289.2156862745,3.
291.1764705882,3.
293.137254902,5.
295.0980392157,2.
297.0588235294,4.
299.0196078431,2.
300.9803921569,4.
302.9411764706,4.
304.9019607843,3.
306.8627450980,6.
308.8235294118,3.
310.7843137255,4.
312.7450980392,2.
314.7058823529,6.
316.6666666667,2.
318.6274509804,9.
320.5882352941,1.
322.5490196078,8.
324.5098039216,6.
326.4705882353,1.
328.4313725490,4.
330.3921568627,7.
332.3529411765,6.
334.3137254902,8.
336.2745098039,6.
338.2352941176,6.
340.1960784314,4.
342.1568627451,5.
344.1176470588,4.
346.0784313725,6.
348.0392156863,3.
350.,5.
351.9607843137,6.
353.9215686275,2.
355.8823529412,7.
357.8431372549,6.
359.8039215686,8.
361.7647058824,10.
363.7254901961,6.
365.6862745098,5.
367.6470588235,6.
369.6078431373,3.
371.568627451,4.
373.5294117647,3.
375.4901960784,5.
377.4509803922,8.
379.4117647059,3.
381.3725490196,1.
383.3333333333,2.
385.2941176471,2.
387.2549019608,3.
389.2156862745,3.
391.1764705882,1.
393.137254902,2.
395.0980392157,4.
397.0588235294,2.
399.0196078431,2.
400.9803921569,2.
402.9411764706,3.
404.9019607843,1.
406.8627450980,0.
408.8235294118,1.
410.7843137255,0.
412.7450980392,2.
414.7058823529,0.
416.6666666667,0.
418.6274509804,0.
420.5882352941,1.
422.5490196078,1.
424.5098039216,0.
426.4705882353,0.
428.4313725490,1.
430.3921568627,0.
432.3529411765,0.
434.3137254902,1.
436.2745098039,1.
438.2352941176,0.
440.1960784314,0.
442.1568627451,0.
444.1176470588,1.
446.0784313725,0.
448.0392156863,1.
450.,0.
451.9607843137,1.
453.9215686275,1.
455.8823529412,0.
457.8431372549,0.
459.8039215686,0.
461.7647058824,0.
463.7254901961,0.
465.6862745098,0.
467.6470588235,1.
469.6078431373,0.
471.568627451,1.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,0.
481.3725490196,0.
483.3333333333,0.
485.2941176471,1.
487.2549019608,0.
489.2156862745,1.
491.1764705882,0.
493.137254902,0.
495.0980392157,1.
497.0588235294,1.
499.0196078431,0.
