x0000,y0000
0.9803921569,0.
2.9411764706,3.
4.9019607843,47.
6.8627450980,111.
8.8235294118,214.
10.7843137255,289.
12.7450980392,413.
14.7058823529,471.
16.6666666667,493.
18.6274509804,570.
20.5882352941,598.
22.5490196078,589.
24.5098039216,580.
26.4705882353,615.
28.4313725490,572.
30.3921568627,556.
32.3529411765,614.
34.3137254902,509.
36.2745098039,526.
38.2352941176,481.
40.1960784314,447.
42.1568627451,378.
44.1176470588,392.
46.0784313725,297.
48.0392156863,303.
50.,307.
51.9607843137,224.
53.9215686275,236.
55.8823529412,188.
57.8431372549,173.
59.8039215686,158.
61.7647058824,146.
63.7254901961,131.
65.6862745098,105.
67.6470588235,105.
69.6078431373,103.
71.568627451,94.
73.5294117647,86.
75.4901960784,66.
77.4509803922,59.
79.4117647059,74.
81.3725490196,60.
83.3333333333,61.
85.2941176471,66.
87.2549019608,54.
89.2156862745,43.
91.1764705882,40.
93.137254902,48.
95.0980392157,47.
97.0588235294,51.
99.0196078431,36.
100.9803921569,37.
102.9411764706,32.
104.9019607843,49.
106.8627450980,42.
108.8235294118,43.
110.7843137255,35.
112.7450980392,29.
114.7058823529,38.
116.6666666667,37.
118.6274509804,34.
120.5882352941,37.
122.5490196078,41.
124.5098039216,49.
126.4705882353,42.
128.4313725490,41.
130.3921568627,50.
132.3529411765,59.
134.3137254902,47.
136.2745098039,61.
138.2352941176,65.
140.1960784314,68.
142.1568627451,91.
144.1176470588,79.
146.0784313725,89.
148.0392156863,104.
150.,115.
151.9607843137,125.
153.9215686275,151.
155.8823529412,153.
157.8431372549,186.
159.8039215686,190.
161.7647058824,205.
163.7254901961,219.
165.6862745098,255.
167.6470588235,251.
169.6078431373,279.
171.568627451,289.
173.5294117647,267.
175.4901960784,275.
177.4509803922,243.
179.4117647059,231.
181.3725490196,214.
183.3333333333,197.
185.2941176471,159.
187.2549019608,165.
189.2156862745,126.
191.1764705882,114.
193.137254902,95.
195.0980392157,90.
197.0588235294,77.
199.0196078431,71.
200.9803921569,56.
202.9411764706,45.
204.9019607843,45.
206.8627450980,33.
208.8235294118,39.
210.7843137255,22.
212.7450980392,15.
214.7058823529,24.
216.6666666667,22.
218.6274509804,23.
220.5882352941,33.
222.5490196078,10.
224.5098039216,16.
226.4705882353,15.
228.4313725490,13.
230.3921568627,10.
232.3529411765,13.
234.3137254902,12.
236.2745098039,16.
238.2352941176,11.
240.1960784314,15.
242.1568627451,9.
244.1176470588,7.
246.0784313725,15.
248.0392156863,9.
250.,19.
251.9607843137,15.
253.9215686275,10.
255.8823529412,11.
257.8431372549,7.
259.8039215686,17.
261.7647058824,12.
263.7254901961,6.
265.6862745098,7.
267.6470588235,9.
269.6078431373,10.
271.568627451,12.
273.5294117647,6.
275.4901960784,11.
277.4509803922,7.
279.4117647059,13.
281.3725490196,5.
283.3333333333,12.
285.2941176471,6.
287.2549019608,9.
289.2156862745,11.
291.1764705882,8.
293.137254902,6.
295.0980392157,8.
297.0588235294,9.
299.0196078431,10.
300.9803921569,8.
302.9411764706,8.
304.9019607843,5.
306.8627450980,7.
308.8235294118,9.
310.7843137255,6.
312.7450980392,8.
314.7058823529,8.
316.6666666667,7.
318.6274509804,7.
320.5882352941,6.
322.5490196078,6.
324.5098039216,9.
326.4705882353,9.
328.4313725490,7.
330.3921568627,3.
332.3529411765,4.
334.3137254902,4.
336.2745098039,5.
338.2352941176,5.
340.1960784314,5.
342.1568627451,5.
344.1176470588,2.
346.0784313725,6.
348.0392156863,3.
350.,2.
351.9607843137,3.
353.9215686275,5.
355.8823529412,3.
357.8431372549,6.
359.8039215686,3.
361.7647058824,1.
363.7254901961,3.
365.6862745098,3.
367.6470588235,3.
369.6078431373,2.
371.568627451,3.
373.5294117647,2.
375.4901960784,2.
377.4509803922,1.
379.4117647059,1.
381.3725490196,3.
383.3333333333,7.
385.2941176471,4.
387.2549019608,2.
389.2156862745,1.
391.1764705882,2.
393.137254902,1.
395.0980392157,1.
397.0588235294,0.
399.0196078431,1.
400.9803921569,4.
402.9411764706,2.
404.9019607843,0.
406.8627450980,1.
408.8235294118,1.
410.7843137255,0.
412.7450980392,0.
414.7058823529,4.
416.6666666667,1.
418.6274509804,0.
420.5882352941,0.
422.5490196078,1.
424.5098039216,0.
426.4705882353,1.
428.4313725490,0.
430.3921568627,0.
432.3529411765,1.
434.3137254902,0.
436.2745098039,2.
438.2352941176,1.
440.1960784314,0.
442.1568627451,0.
444.1176470588,2.
446.0784313725,1.
448.0392156863,0.
450.,1.
451.9607843137,0.
453.9215686275,1.
455.8823529412,1.
457.8431372549,0.
459.8039215686,0.
461.7647058824,2.
463.7254901961,0.
465.6862745098,1.
467.6470588235,1.
469.6078431373,0.
471.568627451,1.
473.5294117647,0.
475.4901960784,0.
477.4509803922,0.
479.4117647059,1.
481.3725490196,1.
483.3333333333,0.
485.2941176471,1.
487.2549019608,0.
489.2156862745,0.
491.1764705882,2.
493.137254902,0.
495.0980392157,4.
497.0588235294,16.
499.0196078431,2.
